CM-12       	17	03	2500.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
CM-12       	26	01	2400.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	欧式门除外
CM-12       	26	02	2460.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	欧式门除外
CM-12       	26	03	2530.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
CM-13       	01	01	1404.00	0	0	162.00	84.00	1.67	1.20	1.10	1.00	
CM-13       	01	02	1464.00	0	0	178.00	94.00	1.67	1.20	1.10	1.00	
CM-13       	01	03	1524.00	0	0	194.00	104.00	1.67	1.20	1.10	1.00	
CM-13       	11	01	1623.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-13       	11	02	1683.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-13       	11	03	1743.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-13       	12	01	1781.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	松木材质木门不可以加工的门型有:FM-22、FM-27、FM-29、FM-30、有带百叶的门型及双层玻璃夹木条。
CM-13       	12	02	1841.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	松木材质木门不可以加工的门型有:FM-22、FM-27、FM-29、FM-30、有带百叶的门型及双层玻璃夹木条。
CM-13       	12	03	1901.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	松木材质木门不可以加工的门型有:FM-22、FM-27、FM-29、FM-30、有带百叶的门型及双层玻璃夹木条。
CM-13       	13	01	1810.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-13       	13	02	1870.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-13       	13	03	1930.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-13       	16	01	1615.00	0	0	186.00	97.00	1.67	1.20	1.10	1.00	
CM-13       	16	02	1675.00	0	0	205.00	107.00	1.67	1.20	1.10	1.00	
CM-13       	16	03	1735.00	0	0	223.00	117.00	1.67	1.20	1.10	1.00	
CM-13       	17	01	2370.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	欧式门除外
CM-13       	17	02	2430.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	欧式门除外
CM-13       	17	03	2500.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
CM-13       	26	01	2400.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	欧式门除外
CM-13       	26	02	2460.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	欧式门除外
CM-13       	26	03	2530.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
CM-14       	01	01	1597.00	0	0	162.00	84.00	1.67	1.20	1.10	1.00	
CM-14       	01	02	1657.00	0	0	178.00	94.00	1.67	1.20	1.10	1.00	
CM-14       	01	03	1717.00	0	0	194.00	104.00	1.67	1.20	1.10	1.00	
CM-14       	11	01	1728.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-14       	11	02	1788.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-14       	11	03	1848.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-14       	12	01	1905.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-14       	12	02	1950.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-14       	12	03	2010.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-14       	13	01	1936.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-14       	13	02	1996.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-14       	13	03	2056.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-14       	16	01	1837.00	0	0	186.00	97.00	1.67	1.20	1.10	1.00	
CM-14       	16	02	1897.00	0	0	205.00	107.00	1.67	1.20	1.10	1.00	
CM-14       	16	03	1957.00	0	0	223.00	117.00	1.67	1.20	1.10	1.00	
CM-14       	17	01	2500.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	欧式门除外
CM-14       	17	02	2550.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	欧式门除外
CM-14       	17	03	2610.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
